comet,ter,semnatic_similarity_with_src,sentiment_analysis_with_src,sentiment_analysis_with_tgt,sentence_entropy,semnatic_similarity_with_tgt,rouge_score_with_tgt,bleu_score_with_tgt,jaccard_similarity_score_with_tgt,dice_similarity_score_with_tgt,bert-score
1.109775424,0.166666667,0.995813549,0,0,2.584962501,0.9837953,"{'rouge-1': {'r': 0.8571428571428571, 'p': 1.0, 'f': 0.9230769181065088}, 'rouge-2': {'r': 0.6666666666666666, 'p': 0.8, 'f': 0.7272727223140496}, 'rouge-l': {'r': 0.8571428571428571, 'p': 1.0, 'f': 0.9230769181065088}}",0.863589452,0.857142857,0.923076923,0.920487165
0.628558576,0.25,0.948329389,1,1,2,0.72094864,"{'rouge-1': {'r': 0.75, 'p': 0.75, 'f': 0.749999995}, 'rouge-2': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}, 'rouge-l': {'r': 0.75, 'p': 0.75, 'f': 0.749999995}}",0.806500859,0.6,0.75,0.923878372
-0.152009338,0.5,0.827262402,1,1,2,0.8263143,"{'rouge-1': {'r': 0.6666666666666666, 'p': 0.5, 'f': 0.5714285665306124}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.6666666666666666, 'p': 0.5, 'f': 0.5714285665306124}}",0.678887766,0.4,0.571428571,0.63560003
-0.336090416,0.75,0.577968538,1,1,2,0.45227462,"{'rouge-1': {'r': 0.25, 'p': 0.25, 'f': 0.24999999500000009}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.25, 'p': 0.25, 'f': 0.24999999500000009}}",0.356683768,0.142857143,0.25,0.711048067
0.461791813,1.142857143,0.947194755,0,1,2.807354922,0.9206304,"{'rouge-1': {'r': 0.4444444444444444, 'p': 0.5714285714285714, 'f': 0.4999999950781251}, 'rouge-2': {'r': 0.1111111111111111, 'p': 0.16666666666666666, 'f': 0.1333333285333335}, 'rouge-l': {'r': 0.3333333333333333, 'p': 0.42857142857142855, 'f': 0.37499999507812504}}",0.401380032,0.142857143,0.25,0.754118741
1.005219698,1.333333333,0.995281756,0,1,1.584962501,0.96013665,"{'rouge-1': {'r': 0.3333333333333333, 'p': 0.6666666666666666, 'f': 0.44444444000000005}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.3333333333333333, 'p': 0.6666666666666666, 'f': 0.44444444000000005}}",0.423356126,0.285714286,0.444444444,0.796459258
1.147124171,0.25,0.983942807,1,0,2,0.844115,"{'rouge-1': {'r': 0.75, 'p': 0.75, 'f': 0.749999995}, 'rouge-2': {'r': 0.3333333333333333, 'p': 0.3333333333333333, 'f': 0.3333333283333334}, 'rouge-l': {'r': 0.75, 'p': 0.75, 'f': 0.749999995}}",0.791261986,0.6,0.75,0.940560102
-0.093785413,0.75,0.871026874,1,1,2,0.7745732,"{'rouge-1': {'r': 0.4, 'p': 0.5, 'f': 0.4444444395061729}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.4, 'p': 0.5, 'f': 0.4444444395061729}}",0.54845272,0.285714286,0.444444444,0.784178197
0.764439464,0.571428571,0.983757377,0,1,2.807354922,0.87914306,"{'rouge-1': {'r': 0.5, 'p': 0.5714285714285714, 'f': 0.5333333283555556}, 'rouge-2': {'r': 0.2857142857142857, 'p': 0.3333333333333333, 'f': 0.3076923027218935}, 'rouge-l': {'r': 0.5, 'p': 0.5714285714285714, 'f': 0.5333333283555556}}",0.480001328,0.363636364,0.533333333,0.810137749
1.121762037,0.142857143,0.988774776,0,1,2.807354922,0.9744291,"{'rouge-1': {'r': 0.8571428571428571, 'p': 0.8571428571428571, 'f': 0.8571428521428571}, 'rouge-2': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}, 'rouge-l': {'r': 0.8571428571428571, 'p': 0.8571428571428571, 'f': 0.8571428521428571}}",0.790271157,0.75,0.857142857,0.968120873
0.778604984,0.333333333,0.684147179,1,1,1.584962501,0.71553826,"{'rouge-1': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}, 'rouge-2': {'r': 0.5, 'p': 0.5, 'f': 0.4999999950000001}, 'rouge-l': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}}",0.57608442,0.5,0.666666667,0.929537237
0.557580411,0.714285714,0.736113191,0,1,2.807354922,0.54941404,"{'rouge-1': {'r': 0.2857142857142857, 'p': 0.2857142857142857, 'f': 0.2857142807142858}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.2857142857142857, 'p': 0.2857142857142857, 'f': 0.2857142807142858}}",0.202579047,0.166666667,0.285714286,0.583677769
-0.562364519,1.333333333,0.698715806,1,1,1.584962501,0.75782645,"{'rouge-1': {'r': 0.3333333333333333, 'p': 0.6666666666666666, 'f': 0.44444444000000005}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.3333333333333333, 'p': 0.6666666666666666, 'f': 0.44444444000000005}}",0.337330906,0.285714286,0.444444444,0.769577861
0.419965893,0.5,0.965270162,1,1,1,0.82186556,"{'rouge-1': {'r': 0.5, 'p': 0.5, 'f': 0.4999999950000001}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.5, 'p': 0.5, 'f': 0.4999999950000001}}",0.535536059,0.333333333,0.5,0.888485253
0.866518736,0.444444444,0.971644223,1,1,3.169925001,0.9463717,"{'rouge-1': {'r': 0.625, 'p': 0.5555555555555556, 'f': 0.5882352891349482}, 'rouge-2': {'r': 0.42857142857142855, 'p': 0.375, 'f': 0.3999999950222222}, 'rouge-l': {'r': 0.625, 'p': 0.5555555555555556, 'f': 0.5882352891349482}}",0.554028488,0.416666667,0.588235294,0.843754113
-1.082502842,0.75,0.327728629,0,0,2,0.27570078,"{'rouge-1': {'r': 0.3333333333333333, 'p': 0.25, 'f': 0.2857142808163266}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.3333333333333333, 'p': 0.25, 'f': 0.2857142808163266}}",0.241258805,0.166666667,0.285714286,0.618147731
0.870283902,0.366666667,0.964350879,0,1,4.681727679,0.8722004,"{'rouge-1': {'r': 0.72, 'p': 0.6923076923076923, 'f': 0.7058823479430989}, 'rouge-2': {'r': 0.5185185185185185, 'p': 0.4827586206896552, 'f': 0.49999999500637765}, 'rouge-l': {'r': 0.72, 'p': 0.6923076923076923, 'f': 0.7058823479430989}}",0.778978415,0.558823529,0.716981132,0.897957563
0.911009371,0.875,0.945754766,1,1,3,0.8844986,"{'rouge-1': {'r': 0.6, 'p': 0.75, 'f': 0.6666666617283951}, 'rouge-2': {'r': 0.2222222222222222, 'p': 0.2857142857142857, 'f': 0.24999999507812506}, 'rouge-l': {'r': 0.5, 'p': 0.625, 'f': 0.555555550617284}}",0.660720543,0.384615385,0.555555556,0.863954365
-0.307837397,0.333333333,0.68487525,0,1,1.584962501,0.7145686,"{'rouge-1': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}, 'rouge-2': {'r': 0.5, 'p': 0.5, 'f': 0.4999999950000001}, 'rouge-l': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}}",0.599894912,0.5,0.666666667,0.79453671
1.039677739,0.75,0.900675535,1,0,2,0.67018163,"{'rouge-1': {'r': 0.3333333333333333, 'p': 0.25, 'f': 0.2857142808163266}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.3333333333333333, 'p': 0.25, 'f': 0.2857142808163266}}",0.615326733,0.166666667,0.285714286,0.700889587
0.244936645,0.7,0.598300993,1,1,3.121928095,0.39808255,"{'rouge-1': {'r': 0.375, 'p': 0.3333333333333333, 'f': 0.35294117148788934}, 'rouge-2': {'r': 0.14285714285714285, 'p': 0.1111111111111111, 'f': 0.12499999507812519}, 'rouge-l': {'r': 0.375, 'p': 0.3333333333333333, 'f': 0.35294117148788934}}",0.469991153,0.214285714,0.352941176,0.666014433
1.137008667,0,0.970509171,1,1,2.584962501,1.0000002,"{'rouge-1': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-2': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}, 'rouge-l': {'r': 1.0, 'p': 1.0, 'f': 0.999999995}}",1,1,1,1.000000119
-1.395769835,0.75,0.384619385,1,0,2,0.16469958,"{'rouge-1': {'r': 0.25, 'p': 0.25, 'f': 0.24999999500000009}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.25, 'p': 0.25, 'f': 0.24999999500000009}}",0.226373594,0.142857143,0.25,0.481271505
0.874117613,0.625,0.944407344,1,1,3,0.78780425,"{'rouge-1': {'r': 0.5714285714285714, 'p': 0.5, 'f': 0.5333333283555556}, 'rouge-2': {'r': 0.16666666666666666, 'p': 0.14285714285714285, 'f': 0.1538461488757398}, 'rouge-l': {'r': 0.42857142857142855, 'p': 0.375, 'f': 0.3999999950222222}}",0.580377905,0.25,0.4,0.70189029
0.363774061,0.666666667,0.853738546,1,1,2.584962501,0.6970911,"{'rouge-1': {'r': 0.8333333333333334, 'p': 0.8333333333333334, 'f': 0.8333333283333335}, 'rouge-2': {'r': 0.4, 'p': 0.4, 'f': 0.3999999950000001}, 'rouge-l': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}}",0.754669776,0.5,0.666666667,0.800268471
-1.281860471,0.6,0.333586246,1,1,2.321928095,0.31318104,"{'rouge-1': {'r': 0.4, 'p': 0.4, 'f': 0.3999999950000001}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.4, 'p': 0.4, 'f': 0.3999999950000001}}",0.344029643,0.25,0.4,0.727589607
0.962024331,0.444444444,0.979853511,0,0,3.169925001,0.90979004,"{'rouge-1': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}, 'rouge-2': {'r': 0.375, 'p': 0.375, 'f': 0.37499999500000003}, 'rouge-l': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}}",0.724070731,0.5,0.666666667,0.843851686
0.951529562,0.2,0.971164703,1,1,3.906890596,0.9885068,"{'rouge-1': {'r': 0.8125, 'p': 0.8666666666666667, 'f': 0.8387096724245579}, 'rouge-2': {'r': 0.7333333333333333, 'p': 0.7857142857142857, 'f': 0.7586206846611178}, 'rouge-l': {'r': 0.8125, 'p': 0.8666666666666667, 'f': 0.8387096724245579}}",0.917338103,0.722222222,0.838709677,0.961483657
0.111422054,1,0.754783332,1,1,2,0.62401533,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}",0.238040038,0,0,0.637372196
-1.035995483,0.571428571,0.820239067,0,1,2.521640636,0.8115623,"{'rouge-1': {'r': 0.5714285714285714, 'p': 0.6666666666666666, 'f': 0.6153846104142012}, 'rouge-2': {'r': 0.3333333333333333, 'p': 0.3333333333333333, 'f': 0.3333333283333334}, 'rouge-l': {'r': 0.5714285714285714, 'p': 0.6666666666666666, 'f': 0.6153846104142012}}",0.662884874,0.444444444,0.615384615,0.703820646
0.543192983,1,0.773655772,0,1,2.321928095,0.85163295,"{'rouge-1': {'r': 0.5, 'p': 1.0, 'f': 0.6666666622222223}, 'rouge-2': {'r': 0.4444444444444444, 'p': 1.0, 'f': 0.6153846111242604}, 'rouge-l': {'r': 0.5, 'p': 1.0, 'f': 0.6666666622222223}}",0.349937749,0.5,0.666666667,0.808651984
0.768943608,0.5,0.991779685,0,0,3,0.7841275,"{'rouge-1': {'r': 0.6, 'p': 0.75, 'f': 0.6666666617283951}, 'rouge-2': {'r': 0.3333333333333333, 'p': 0.42857142857142855, 'f': 0.37499999507812504}, 'rouge-l': {'r': 0.6, 'p': 0.75, 'f': 0.6666666617283951}}",0.616441608,0.5,0.666666667,0.821599185
-0.231440723,0.833333333,0.670845509,1,1,2.584962501,0.5235969,"{'rouge-1': {'r': 0.3333333333333333, 'p': 0.3333333333333333, 'f': 0.3333333283333334}, 'rouge-2': {'r': 0.2, 'p': 0.2, 'f': 0.19999999500000015}, 'rouge-l': {'r': 0.3333333333333333, 'p': 0.3333333333333333, 'f': 0.3333333283333334}}",0.509367895,0.2,0.333333333,0.697327673
-0.794435084,0.25,0.601239681,0,0,2,0.53455037,"{'rouge-1': {'r': 0.75, 'p': 0.75, 'f': 0.749999995}, 'rouge-2': {'r': 0.6666666666666666, 'p': 0.6666666666666666, 'f': 0.6666666616666668}, 'rouge-l': {'r': 0.75, 'p': 0.75, 'f': 0.749999995}}",0.632145689,0.6,0.75,0.81387198
-1.443877459,1,0.374159455,0,0,3,0.10701972,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}",1.99E-78,0,0,0.405973017
